XP_001728056.1	[0.69480646]
XP_965110.1	[0.94723064]
XP_965116.2	[0.7758518]
XP_965124.3	[0.9829296]
XP_965138.2	[0.9898056]
XP_965143.2	[0.59229535]
XP_965160.1	[0.98699075]
XP_965169.1	[0.87584895]
XP_965173.1	[0.784279]
XP_965186.2	[0.96929586]
XP_965194.3	[0.90509385]
XP_965199.1	[0.7754188]
XP_965205.3	[0.75090367]
XP_965250.1	[0.5470314]
XP_965252.1	[0.84725565]
XP_965263.2	[0.9760251]
XP_965268.1	[0.9793915]
XP_965279.2	[0.67171174]
XP_965287.2	[0.73104084]
XP_965312.1	[0.514476]
XP_965325.2	[0.58134836]
XP_965377.1	[0.97877526]
XP_965380.2	[0.9807973]
XP_965419.1	[0.9869763]
XP_965439.3	[0.99075764]
XP_965443.3	[0.8579874]
XP_965444.2	[0.9914684]
XP_965472.3	[0.99122846]
XP_965483.1	[0.67618734]
XP_965484.1	[0.9895064]
XP_965486.1	[0.9663848]
XP_965487.3	[0.98819065]
XP_965493.3	[0.9668989]
XP_965496.3	[0.68201077]
XP_965517.1	[0.9889425]
XP_965539.1	[0.9088754]
XP_965541.2	[0.95871395]
XP_965557.3	[0.661485]
XP_965568.2	[0.6279154]
XP_965571.1	[0.81039745]
XP_965578.1	[0.98991126]
XP_965616.1	[0.99078673]
XP_965655.1	[0.98023075]
XP_965656.1	[0.98763716]
XP_965671.3	[0.6736447]
XP_965679.1	[0.8413862]
XP_965689.3	[0.9816024]
XP_965694.1	[0.98966295]
XP_965735.3	[0.87957937]
XP_965827.2	[0.5569327]
